Downloading: "https://download.pytorch.org/models/mobilenet_v2-7ebf99e0.pth" to /iitjhome/m21aie225/.cache/torch/hub/checkpoints/mobilenet_v2-7ebf99e0.pth
cuda:0
Files already downloaded and verified
Files already downloaded and verified


***				Epoch = 10	Learning Rate = 0.01				***


  0%|          | 0.00/13.6M [00:00<?, ?B/s]  2%|▏         | 256k/13.6M [00:00<00:06, 2.30MB/s] 11%|█         | 1.52M/13.6M [00:00<00:01, 8.39MB/s] 42%|████▏     | 5.68M/13.6M [00:00<00:00, 24.0MB/s] 73%|███████▎  | 9.92M/13.6M [00:00<00:00, 28.3MB/s]100%|██████████| 13.6M/13.6M [00:00<00:00, 28.1MB/s]
Epoch: 1 (2m 0s) 	Training Loss: 1.704, 	Test Loss: 1.392,  	Training acc: 0.36, 	Test acc: 0.49, 
Epoch: 3 (5m 1s) 	Training Loss: 0.269, 	Test Loss: 0.353,  	Training acc: 0.91, 	Test acc: 0.88, 
Epoch: 4 (6m 42s) 	Training Loss: 0.232, 	Test Loss: 0.317,  	Training acc: 0.92, 	Test acc: 0.89, 
Epoch: 5 (8m 22s) 	Training Loss: 0.195, 	Test Loss: 0.321,  	Training acc: 0.93, 	Test acc: 0.90, 
Epoch: 6 (10m 3s) 	Training Loss: 0.172, 	Test Loss: 0.317,  	Training acc: 0.94, 	Test acc: 0.90, 
Epoch: 7 (11m 44s) 	Training Loss: 0.156, 	Test Loss: 0.297,  	Training acc: 0.95, 	Test acc: 0.91, 
Epoch: 8 (13m 32s) 	Training Loss: 0.140, 	Test Loss: 0.266,  	Training acc: 0.95, 	Test acc: 0.91, 
Epoch: 9 (15m 13s) 	Training Loss: 0.125, 	Test Loss: 0.297,  	Training acc: 0.96, 	Test acc: 0.91, 
Epoch: 10 (16m 54s) 	Training Loss: 0.112, 	Test Loss: 0.305,  	Training acc: 0.96, 	Test acc: 0.91, 
Training completed in 16m 54s 	Training Loss: 0.112, 	Test Loss: 0.305,  	Training acc: 0.96, 	Test acc: 0.91, 


***				Epoch = 15	Learning Rate = 0.001				***


Epoch: 1 (2m 41s) 	Training Loss: 0.529, 	Test Loss: 0.400,  	Training acc: 0.82, 	Test acc: 0.87, 
Epoch: 2 (4m 21s) 	Training Loss: 0.332, 	Test Loss: 0.351,  	Training acc: 0.89, 	Test acc: 0.88, 
Epoch: 3 (6m 3s) 	Training Loss: 0.274, 	Test Loss: 0.332,  	Training acc: 0.91, 	Test acc: 0.89, 
Epoch: 4 (8m 2s) 	Training Loss: 0.232, 	Test Loss: 0.324,  	Training acc: 0.92, 	Test acc: 0.90, 
Epoch: 5 (9m 46s) 	Training Loss: 0.201, 	Test Loss: 0.286,  	Training acc: 0.93, 	Test acc: 0.91, 
Epoch: 6 (11m 29s) 	Training Loss: 0.171, 	Test Loss: 0.303,  	Training acc: 0.94, 	Test acc: 0.90, 
Epoch: 7 (13m 11s) 	Training Loss: 0.153, 	Test Loss: 0.308,  	Training acc: 0.95, 	Test acc: 0.90, 
Epoch: 8 (14m 58s) 	Training Loss: 0.138, 	Test Loss: 0.289,  	Training acc: 0.95, 	Test acc: 0.91, 
Epoch: 9 (16m 41s) 	Training Loss: 0.123, 	Test Loss: 0.293,  	Training acc: 0.96, 	Test acc: 0.91, 
Epoch: 10 (18m 23s) 	Training Loss: 0.112, 	Test Loss: 0.280,  	Training acc: 0.96, 	Test acc: 0.92, 
Epoch: 11 (20m 7s) 	Training Loss: 0.106, 	Test Loss: 0.292,  	Training acc: 0.97, 	Test acc: 0.91, 
Epoch: 12 (21m 51s) 	Training Loss: 0.097, 	Test Loss: 0.324,  	Training acc: 0.97, 	Test acc: 0.91, 
Epoch: 13 (23m 34s) 	Training Loss: 0.091, 	Test Loss: 0.312,  	Training acc: 0.97, 	Test acc: 0.91, 
Epoch: 14 (25m 16s) 	Training Loss: 0.083, 	Test Loss: 0.352,  	Training acc: 0.97, 	Test acc: 0.90, 
Epoch: 15 (27m 8s) 	Training Loss: 0.080, 	Test Loss: 0.324,  	Training acc: 0.97, 	Test acc: 0.91, 
Training completed in 27m 8s 	Training Loss: 0.080, 	Test Loss: 0.324,  	Training acc: 0.97, 	Test acc: 0.91, 


***				Epoch = 10	Learning Rate = 0.0001				***


Epoch: 1 (1m 46s) 	Training Loss: 0.494, 	Test Loss: 0.297,  	Training acc: 0.84, 	Test acc: 0.90, 
Epoch: 2 (3m 27s) 	Training Loss: 0.184, 	Test Loss: 0.239,  	Training acc: 0.94, 	Test acc: 0.92, 
Epoch: 3 (5m 12s) 	Training Loss: 0.108, 	Test Loss: 0.234,  	Training acc: 0.96, 	Test acc: 0.92, 
Epoch: 4 (6m 56s) 	Training Loss: 0.066, 	Test Loss: 0.238,  	Training acc: 0.98, 	Test acc: 0.93, 
Epoch: 5 (8m 37s) 	Training Loss: 0.047, 	Test Loss: 0.250,  	Training acc: 0.98, 	Test acc: 0.93, 
Epoch: 6 (10m 17s) 	Training Loss: 0.038, 	Test Loss: 0.255,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 7 (12m 2s) 	Training Loss: 0.033, 	Test Loss: 0.247,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 8 (13m 42s) 	Training Loss: 0.029, 	Test Loss: 0.268,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 9 (15m 25s) 	Training Loss: 0.027, 	Test Loss: 0.271,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 10 (17m 6s) 	Training Loss: 0.022, 	Test Loss: 0.275,  	Training acc: 0.99, 	Test acc: 0.93, 
Training completed in 17m 6s 	Training Loss: 0.022, 	Test Loss: 0.275,  	Training acc: 0.99, 	Test acc: 0.93, 


***				Epoch = 15	Learning Rate = 0.0001				***


Epoch: 1 (1m 42s) 	Training Loss: 0.502, 	Test Loss: 0.289,  	Training acc: 0.84, 	Test acc: 0.90, 
Epoch: 2 (3m 30s) 	Training Loss: 0.189, 	Test Loss: 0.230,  	Training acc: 0.94, 	Test acc: 0.92, 
Epoch: 3 (5m 12s) 	Training Loss: 0.106, 	Test Loss: 0.240,  	Training acc: 0.96, 	Test acc: 0.92, 
Epoch: 4 (6m 53s) 	Training Loss: 0.068, 	Test Loss: 0.240,  	Training acc: 0.98, 	Test acc: 0.92, 
Epoch: 5 (8m 34s) 	Training Loss: 0.047, 	Test Loss: 0.248,  	Training acc: 0.98, 	Test acc: 0.93, 
Epoch: 6 (10m 14s) 	Training Loss: 0.040, 	Test Loss: 0.255,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 7 (11m 56s) 	Training Loss: 0.034, 	Test Loss: 0.255,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 8 (13m 37s) 	Training Loss: 0.029, 	Test Loss: 0.264,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 9 (15m 17s) 	Training Loss: 0.027, 	Test Loss: 0.259,  	Training acc: 0.99, 	Test acc: 0.94, 
Epoch: 10 (16m 58s) 	Training Loss: 0.024, 	Test Loss: 0.273,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 11 (18m 38s) 	Training Loss: 0.021, 	Test Loss: 0.264,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 12 (20m 19s) 	Training Loss: 0.022, 	Test Loss: 0.282,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 13 (21m 59s) 	Training Loss: 0.019, 	Test Loss: 0.296,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 14 (23m 39s) 	Training Loss: 0.017, 	Test Loss: 0.289,  	Training acc: 0.99, 	Test acc: 0.93, 
Epoch: 15 (25m 20s) 	Training Loss: 0.020, 	Test Loss: 0.273,  	Training acc: 0.99, 	Test acc: 0.93, 
Training completed in 25m 20s 	Training Loss: 0.020, 	Test Loss: 0.273,  	Training acc: 0.99, 	Test acc: 0.93, 


***				Epoch = 10	Learning Rate = 1e-05				***


Epoch: 1 (1m 42s) 	Training Loss: 1.419, 	Test Loss: 0.743,  	Training acc: 0.60, 	Test acc: 0.77, 
Epoch: 2 (3m 25s) 	Training Loss: 0.571, 	Test Loss: 0.492,  	Training acc: 0.82, 	Test acc: 0.84, 
Epoch: 3 (5m 7s) 	Training Loss: 0.418, 	Test Loss: 0.410,  	Training acc: 0.86, 	Test acc: 0.86, 
Epoch: 4 (6m 48s) 	Training Loss: 0.338, 	Test Loss: 0.362,  	Training acc: 0.89, 	Test acc: 0.88, 
Epoch: 5 (8m 28s) 	Training Loss: 0.293, 	Test Loss: 0.335,  	Training acc: 0.90, 	Test acc: 0.89, 
Epoch: 6 (10m 9s) 	Training Loss: 0.253, 	Test Loss: 0.318,  	Training acc: 0.92, 	Test acc: 0.89, 
Epoch: 7 (11m 51s) 	Training Loss: 0.220, 	Test Loss: 0.294,  	Training acc: 0.93, 	Test acc: 0.90, 
Epoch: 8 (13m 33s) 	Training Loss: 0.194, 	Test Loss: 0.280,  	Training acc: 0.94, 	Test acc: 0.90, 
Epoch: 9 (15m 14s) 	Training Loss: 0.172, 	Test Loss: 0.278,  	Training acc: 0.94, 	Test acc: 0.90, 
Epoch: 10 (16m 56s) 	Training Loss: 0.151, 	Test Loss: 0.276,  	Training acc: 0.95, 	Test acc: 0.91, 
Training completed in 16m 56s 	Training Loss: 0.151, 	Test Loss: 0.276,  	Training acc: 0.95, 	Test acc: 0.91, 


***				Epoch = 15	Learning Rate = 1e-05				***


Epoch: 1 (1m 42s) 	Training Loss: 1.349, 	Test Loss: 0.710,  	Training acc: 0.62, 	Test acc: 0.78, 
Epoch: 2 (3m 26s) 	Training Loss: 0.553, 	Test Loss: 0.478,  	Training acc: 0.83, 	Test acc: 0.84, 
Epoch: 3 (5m 8s) 	Training Loss: 0.408, 	Test Loss: 0.411,  	Training acc: 0.87, 	Test acc: 0.86, 
Epoch: 4 (6m 49s) 	Training Loss: 0.338, 	Test Loss: 0.361,  	Training acc: 0.89, 	Test acc: 0.88, 
Epoch: 5 (8m 30s) 	Training Loss: 0.285, 	Test Loss: 0.333,  	Training acc: 0.91, 	Test acc: 0.89, 
Epoch: 6 (10m 12s) 	Training Loss: 0.244, 	Test Loss: 0.321,  	Training acc: 0.92, 	Test acc: 0.89, 
Epoch: 7 (11m 53s) 	Training Loss: 0.216, 	Test Loss: 0.310,  	Training acc: 0.93, 	Test acc: 0.90, 
Epoch: 8 (13m 34s) 	Training Loss: 0.189, 	Test Loss: 0.285,  	Training acc: 0.94, 	Test acc: 0.90, 
Epoch: 9 (15m 15s) 	Training Loss: 0.168, 	Test Loss: 0.277,  	Training acc: 0.95, 	Test acc: 0.90, 
Epoch: 10 (16m 56s) 	Training Loss: 0.148, 	Test Loss: 0.271,  	Training acc: 0.95, 	Test acc: 0.91, 
Epoch: 11 (18m 38s) 	Training Loss: 0.129, 	Test Loss: 0.271,  	Training acc: 0.96, 	Test acc: 0.91, 
Epoch: 12 (20m 20s) 	Training Loss: 0.114, 	Test Loss: 0.269,  	Training acc: 0.96, 	Test acc: 0.91, 
Epoch: 13 (22m 1s) 	Training Loss: 0.101, 	Test Loss: 0.262,  	Training acc: 0.97, 	Test acc: 0.91, 
Epoch: 14 (23m 43s) 	Training Loss: 0.086, 	Test Loss: 0.253,  	Training acc: 0.97, 	Test acc: 0.92, 
Epoch: 15 (25m 24s) 	Training Loss: 0.077, 	Test Loss: 0.258,  	Training acc: 0.98, 	Test acc: 0.92, 
Training completed in 25m 24s 	Training Loss: 0.077, 	Test Loss: 0.258,  	Training acc: 0.98, 	Test acc: 0.92, 


***				Epoch = 10	Learning Rate = 1e-06				***


Epoch: 1 (1m 40s) 	Training Loss: 2.263, 	Test Loss: 2.193,  	Training acc: 0.18, 	Test acc: 0.28, 
Epoch: 2 (3m 21s) 	Training Loss: 2.106, 	Test Loss: 2.009,  	Training acc: 0.38, 	Test acc: 0.46, 
Epoch: 3 (5m 2s) 	Training Loss: 1.892, 	Test Loss: 1.770,  	Training acc: 0.52, 	Test acc: 0.57, 
Epoch: 4 (6m 43s) 	Training Loss: 1.638, 	Test Loss: 1.513,  	Training acc: 0.60, 	Test acc: 0.63, 
Epoch: 5 (8m 23s) 	Training Loss: 1.396, 	Test Loss: 1.294,  	Training acc: 0.65, 	Test acc: 0.66, 
Epoch: 6 (10m 4s) 	Training Loss: 1.200, 	Test Loss: 1.115,  	Training acc: 0.69, 	Test acc: 0.70, 
Epoch: 7 (11m 45s) 	Training Loss: 1.047, 	Test Loss: 0.986,  	Training acc: 0.72, 	Test acc: 0.73, 
Epoch: 8 (13m 27s) 	Training Loss: 0.927, 	Test Loss: 0.889,  	Training acc: 0.74, 	Test acc: 0.74, 
Epoch: 9 (15m 10s) 	Training Loss: 0.838, 	Test Loss: 0.811,  	Training acc: 0.76, 	Test acc: 0.76, 
Epoch: 10 (16m 51s) 	Training Loss: 0.766, 	Test Loss: 0.749,  	Training acc: 0.77, 	Test acc: 0.77, 
Training completed in 16m 51s 	Training Loss: 0.766, 	Test Loss: 0.749,  	Training acc: 0.77, 	Test acc: 0.77, 


***				Epoch = 15	Learning Rate = 1e-06				***


Epoch: 1 (1m 41s) 	Training Loss: 2.249, 	Test Loss: 2.175,  	Training acc: 0.19, 	Test acc: 0.29, 
Epoch: 2 (3m 21s) 	Training Loss: 2.089, 	Test Loss: 1.992,  	Training acc: 0.39, 	Test acc: 0.49, 
Epoch: 3 (5m 3s) 	Training Loss: 1.871, 	Test Loss: 1.745,  	Training acc: 0.54, 	Test acc: 0.59, 
Epoch: 4 (6m 45s) 	Training Loss: 1.613, 	Test Loss: 1.484,  	Training acc: 0.62, 	Test acc: 0.65, 
Epoch: 5 (8m 28s) 	Training Loss: 1.366, 	Test Loss: 1.257,  	Training acc: 0.67, 	Test acc: 0.68, 
Epoch: 6 (10m 11s) 	Training Loss: 1.164, 	Test Loss: 1.080,  	Training acc: 0.70, 	Test acc: 0.71, 
Epoch: 7 (11m 51s) 	Training Loss: 1.016, 	Test Loss: 0.959,  	Training acc: 0.72, 	Test acc: 0.72, 
Epoch: 8 (13m 32s) 	Training Loss: 0.902, 	Test Loss: 0.864,  	Training acc: 0.74, 	Test acc: 0.74, 
Epoch: 9 (15m 13s) 	Training Loss: 0.818, 	Test Loss: 0.788,  	Training acc: 0.76, 	Test acc: 0.76, 
Epoch: 10 (16m 54s) 	Training Loss: 0.754, 	Test Loss: 0.741,  	Training acc: 0.77, 	Test acc: 0.77, 
Epoch: 11 (18m 34s) 	Training Loss: 0.703, 	Test Loss: 0.699,  	Training acc: 0.78, 	Test acc: 0.78, 
Epoch: 12 (20m 15s) 	Training Loss: 0.659, 	Test Loss: 0.655,  	Training acc: 0.80, 	Test acc: 0.79, 
Epoch: 13 (21m 57s) 	Training Loss: 0.624, 	Test Loss: 0.620,  	Training acc: 0.80, 	Test acc: 0.80, 
Epoch: 14 (23m 41s) 	Training Loss: 0.594, 	Test Loss: 0.598,  	Training acc: 0.81, 	Test acc: 0.81, 
Epoch: 15 (25m 24s) 	Training Loss: 0.565, 	Test Loss: 0.576,  	Training acc: 0.82, 	Test acc: 0.81, 
Training completed in 25m 24s 	Training Loss: 0.565, 	Test Loss: 0.576,  	Training acc: 0.82, 	Test acc: 0.81, 


 Overall Summary : 

|   Learning Rate |   Epoch |   Training Time |   Training Accuracy |   Test Accuracy |
|----------------:|--------:|----------------:|--------------------:|----------------:|
|          0.01   |      10 |         1048.41 |            0.827735 |        0.80022  |
|          0.01   |      15 |         1541.13 |            0.860905 |        0.814397 |
|          0.001  |      10 |         1014.4  |            0.961472 |        0.911342 |
|          0.001  |      15 |         1628.36 |            0.971509 |        0.907947 |
|          0.0001 |      10 |         1026.97 |            0.992682 |        0.928115 |
|          0.0001 |      15 |         1520.75 |            0.992962 |        0.93131  |
|          1e-05  |      10 |         1016.06 |            0.951156 |        0.905751 |
|          1e-05  |      15 |         1524.59 |            0.976408 |        0.915535 |
|          1e-06  |      10 |         1011.81 |            0.773093 |        0.773962 |
|          1e-06  |      15 |         1524.61 |            0.819778 |        0.812001 |
